HSMV_Report_Number,Agency_Report_Number,Reporting_Agency,Form_Type,Crash_Date,Crash_Time,City,County,Crash_Street,Intersecting_Street,Offset_Distance,Offset_Direction,Crash_Type,Vehicles,Non_Motorists,Fatalities,Injuries,Alcohol_Related,Distraction_Related,Drug_Related,Estimated_Damages,Weather_Condition,Light_Condition,Street_Number,Crash_Type_Detailed,Crash_Type_Dir,Crash_Severity,Within_City_Limits,Manner_of_Collision,First_Harmful_Event,First_HE_Location,First_HE_Relation_to_Jct,First_HE_Within_Interchange,Type_of_Intersection,Road_Sys_Identifier,Type_of_Shoulder,Road_Surf_Cond,Contrib_Circum_Road1,Contrib_Circum_Road2,Contrib_Circum_Road3,Contrib_Circum_Env1,Contrib_Circum_Env2,Contrib_Circum_Env3,School_Bus_Related,Work_Zone_Related,Type_of_Work_Zone,Loc_in_Work_Zone,Workers_in_Work_Zone,Law_Enforcement_in_Work_Zone,Mopeds,Motorcycles,Passengers,Bicyclists,Pedestrians,Fatalities_Unrestrained,Injuries_Unrestrained,Possible_Injuries,Non_Incapacitating_Injuries,Incapacitating_Injuries,Fatalities_30_Days,Non_Traffic_Fatalities,Transported_by_EMS,Transported_by_Law_Enforcement,Transported_by_Other,Citations,Property_Dmg_Amt,Vehicle_Dmg_Amt,S4_Mapping,S4_Decimal_Degree_Longitude,S4_Decimal_Degree_Latitude,S4_Albers_X,S4_Albers_Y,S4_Mapping_Date,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY_2,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"88231831",FHPK20OFF013914,FHP,Long,03:20:20,12:00 PM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),INTERSTATE 4 (STATE ROAD 400),"528",North,Sideswipe,"2","0","0","3",N,N,N,"$16,500",Cloudy,Daylight,,Same Direction Sideswipe,S,Injury,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","3","0","0","0","0","3","0","0","0","0",$0,$0,"0","0","2500","14000","Mapped, On Network",-81.4473373616684,28.4759014829729,649439.317480333,499229.4649574,3/24/2020 3:11:55 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88208521",FHPK20OFF013509,FHP,Long,03:17:20,07:19 AM,Orlando,Orange,STATE ROAD 91,STATE ROAD 400,"5280",South,Sideswipe,"2","0","0","0",N,N,N,"$1,000",Clear,Dawn,,Same Direction Sideswipe,N,Property Damage Only,N,Other,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","1000","Mapped, On Network",-81.4295283811956,28.4588284942381,651218.832218132,497369.962161604,3/29/2020 8:52:30 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88279139",FHPK20OFF012289,FHP,Long,03:09:20,09:16 PM,Orlando,Orange,STATE ROAD 91(FLORIDAS TURNPIKE),OAK RIDGE ROAD,"5280",South,Rear End,"3","0","0","2",Y,N,N,"$11,000",Clear,Dusk,,Rear End,N,Injury,Y,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","2","0","0","0","0",$1,$0,"0","5","0","11000","Mapped, On Network",-81.432971357451,28.4618521055201,650875.400250401,497698.671421841,3/13/2020 4:21:58 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"89820917",2020-00091565,Orlando PD,Long,03:12:20,06:00 PM,Orlando,Orange,I-4/SR-400 WBO,FLORIDA TURNPIKE (SR91),"0",West,Rear End,"3","0","0","0",N,Y,N,"$9,500",Clear,Daylight,,Rear End,W,Property Damage Only,Y,Front to Rear,Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,N,Not at Intersection,State,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","9500","Mapped, On Network",-81.4490616671096,28.4792456214784,649263.164895017,499597.286452711,3/25/2020 2:44:54 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88273686",FHPK20OFF006050,FHP,Long,02:05:20,09:55 AM,Orlando,Orange,FLORIDA TURNPIKE (STATE ROAD 91) ENTRANCE RAM,INTERSTATE 4,"369",West,Rear End,"2","0","0","1",N,N,N,"$10,400",Clear,Daylight,,Rear End,N,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,Y,Work on Shoulder or Median,Activity Area,Y,N,"0","0","0","0","0","0","0","1","0","0","0","0",$0,$0,"0","1","0","10400","Mapped, On Network",-81.4394535017702,28.4674800491744,650229.015037052,498310.384918353,2/26/2020 5:08:32 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88202564",FHPK20OFF008650,FHP,Long,02:18:20,11:00 PM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),OAK RIDGE ROAD,"750",South,Rear End,"3","0","0","3",N,N,N,"$19,500",Cloudy,Dark - Lighted,,Rear End,N,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","3","0","0","0","0","0","3","0","0","0",$0,$0,"0","1","2000","17500","Mapped, On Network",-81.4429485974509,28.470641790433,649880.225786357,498654.353525259,2/22/2020 3:42:08 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88208514",FHPK20OFF009808,FHP,Long,02:25:20,09:00 AM,Orlando,Orange,STATE ROAD 91,STATE ROAD 400,"5280",North,Rear End,"2","0","0","2",N,N,N,$500,Clear,Daylight,,Rear End,S,Injury,N,Other,"Railway Vehicle (train, engine)",On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","2","0","0","0","0","2","0","0","0","0",$0,$0,"0","0","0","500","Mapped, On Network",-81.4289385284735,28.4579895765209,651278.414057552,497278.017008312,3/29/2020 8:49:18 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88273684",FHPK20OFF005712,FHP,Long,02:03:20,07:50 AM,Orlando,Orange,FLORIDA TURNPIKE (STATE ROAD 91),INTERSTATE 4,"17952",North,Rear End,"2","0","0","2",N,N,N,"$10,700",Clear,Daylight,,Rear End,S,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","2","0","0","0","0",$0,$0,"0","1","0","10700","Mapped, On Network",-81.4401110793869,28.4676859152221,650164.288023127,498331.908546926,2/18/2020 5:23:58 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88231823",FHPK20OFF009925,FHP,Short,02:25:20,09:25 PM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),INTERSTATE 4 (STATE ROAD 400),"1056",South,Sideswipe,"2","0","0","0",N,N,N,"$3,500",Clear,Dark - Lighted,,Same Direction Sideswipe,S,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,Y,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,Y,Work on Shoulder or Median,Activity Area,N,N,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","3500","Mapped, On Network",-81.4489878641009,28.4778628227818,649273.55212883,499443.899982072,3/18/2020 1:43:09 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"89822937",2020-00125369,Orlando PD,Short,04:15:20,07:16 PM,Orlando,Orange,I4 WBO,TPK SBO TP,"0",South,Angle,"2","0","0","0",N,N,N,$700,Rain,Daylight,,Right Angle,SE,Property Damage Only,Y,Angle,Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,N,Not at Intersection,Interstate,Paved,Wet,None,,,Weather Conditions,,,N,N,,,,,"0","0","1","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","700","Mapped, On Network",-81.4476515150448,28.476906383023,649406.313913106,499340.406126048,7/20/2020 4:45:44 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88231820",FHPK20OFF008147,FHP,Long,02:16:20,09:50 AM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),INTERSTATE 4 (STATE ROAD 400),"528",South,Off Road,"1","0","0","0",N,N,N,"$5,850",Clear,Daylight,,Off Road,N,Property Damage Only,N,Other,Guardrail Face,Shoulder,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","850","5000","Mapped, On Network",-81.4433907434183,28.4711145307334,649835.936189184,498705.947183376,2/24/2020 12:15:46 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"89820749",2020-00082121,Orlando PD,Long,03:05:20,03:30 PM,Orlando,Orange,I4 WBO (SR 400),EXIT 77 (FLORIDA TURNPIKE),"50",East,Rear End,"2","0","0","2",N,N,N,"$1,000",Clear,Daylight,,Rear End,E,Injury,Y,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,State,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","2","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.4486034936729,28.4789399273726,649308.630971329,499564.270679668,3/27/2020 3:23:30 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88179939",FHPK20OFF005425,FHP,Long,02:01:20,02:05 PM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),INTERSTATE 4,"2640",South,Sideswipe,"2","0","0","0",N,N,N,"$1,750",Clear,Daylight,,Same Direction Sideswipe,S,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","500","1250","Mapped, On Network",-81.4395752947587,28.4672148041654,650217.726132394,498280.686983485,2/13/2020 12:07:00 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88231832",FHPK20OFF016443,FHP,Long,04:15:20,06:19 AM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),INTERSTATE 4 (STATE ROAD 400),"528",South,Sideswipe,"2","0","0","0",N,N,N,"$1,100",Clear,Dark - Lighted,,Same Direction Sideswipe,N,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Non-Junction,Y,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,Y,Work on Shoulder or Median,Transition Area,N,N,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","2","0","1100","Mapped, On Network",-81.4433907434183,28.4711145307334,649835.936189184,498705.947183376,7/19/2020 11:01:17 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88208555",FHPK20OFF007435,FHP,Long,02:13:20,06:35 AM,Orlando,Orange,STATE ROAD 91 (FLORIDA TURNPIKE),MM 259,"0",,Rear End,"2","0","0","0",N,N,N,"$2,000",Clear,Daylight,,Rear End,N,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,Y,Not at Intersection,State,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","2000","Mapped, On Network",-81.4442219027792,28.4721961958997,649752.236089628,498824.363505464,2/18/2020 1:21:57 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88208518",FHPK20OFF011454,FHP,Long,03:05:20,06:03 AM,Orlando,Orange,STATE ROAD 91,STATE ROAD 400,"5280",South,Sideswipe,"3","0","0","0",N,N,N,"$1,500",Clear,Dawn,,Same Direction Sideswipe,S,Property Damage Only,N,Other,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","1500","Mapped, On Network",-81.4396448129905,28.4676276961608,650209.981437728,498326.390329504,3/26/2020 11:48:07 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88273688",FHPK20OFF006917,FHP,Long,02:10:20,09:25 AM,Orlando,Orange,FLORIDA TURNPIKE (STATE ROAD 91),INTERSTATE 4,"5280",North,Rear End,"2","0","0","1",N,N,N,"$2,500",Clear,Daylight,,Rear End,S,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,Y,Work on Shoulder or Median,Activity Area,Y,N,"0","0","0","0","0","0","0","1","0","0","0","0",$0,$0,"0","1","0","2500","Mapped, On Network",-81.4379182124854,28.4658732430139,650382.73663923,498135.093696835,2/26/2020 5:07:05 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88168814",FHPK20OFF009633,FHP,Long,02:24:20,07:53 AM,Orlando TP,Orange,SR 91 (FLORIDAS TURNPIKE),SR 400 (INTERSTATE 4),"2640",North,Other,"4","0","0","0",N,N,N,"$2,000",Clear,Daylight,,Other,N,Property Damage Only,N,Other,Other Non-Fixed Object,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","2000","Mapped, On Network",-81.4394133511911,28.4675008763667,650232.890157186,498312.778886111,3/6/2020 7:33:39 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"89820591",2020-00039667,Orlando PD,Long,02:02:20,11:23 AM,Orlando,Orange,I4 EBO,TPK NBO TP,"0",,Rear End,"2","0","0","0",N,N,N,"$5,000",Clear,Daylight,,Rear End,S,Property Damage Only,Y,Front to Rear,Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,Y,Not at Intersection,Turnpike/Toll,Paved,Dry,None,None,None,None,None,None,N,Y,Intermittent or Moving Work,Activity Area,N,N,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","5000","Mapped, On Network",-81.4486680606717,28.4790841196378,649301.991445473,499580.150176812,2/27/2020 5:47:25 PM,,,,,,,,12.000000000000000,13.000000000000000,,
"88237112",FHPK20OFF016318,FHP,Long,04:13:20,05:25 PM,Unincorporated,Orange,SR-91 (FLORIDA TURNPIKE) NORTHBOUND,MILE MARKER 258,"150",South,Off Road,"1","0","0","1",N,Y,N,"$15,000",Clear,Daylight,,Off Road,N,Injury,N,Other,Utility Pole/Light Support,Off Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Unpaved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","1","0","0","0",$1,$0,"0","0","10000","5000","Mapped, On Network",-81.4253275456832,28.4552933710489,651637.527544499,496986.014591046,4/27/2020 2:29:03 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88208511",FHPK20OFF007633,FHP,Long,02:14:20,08:17 AM,Orlando,Orange,STATE ROAD 91,STATE ROAD 400,"5280",South,Other,"2","0","0","0",N,N,N,$350,Cloudy,Daylight,,Other,N,Property Damage Only,N,Other,Cargo/Equipment Loss or Shift,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","350","Mapped, On Network",-81.4261981186115,28.4559847007304,651550.851455354,497060.998275327,2/17/2020 3:48:39 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88340900",FHPD20OFF029294,FHP,Long,04:24:20,10:35 AM,Orlando,Orange,STATE ROAD 482 (SAND LAKE ROAD),CHANCELLOR DRIVE,"20",West,Rear End,"2","0","0","0",N,N,N,"$8,000",Rain,Daylight,,Rear End,E,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,State,Unpaved,Wet,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","8000","Mapped, On Network",-81.4209711336517,28.4505358921858,652074.291896907,496466.678696489,7/16/2020 3:36:25 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88315337",FHPK20OFF011548,FHP,Long,03:05:20,03:35 PM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),MILE MARKER 257,"0",,Off Road,"2","0","0","0",N,Y,N,"$6,000",Clear,Daylight,,Off Road,N,Property Damage Only,N,Other,Concrete Traffic Barrier,Shoulder,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,Y,Work on Shoulder or Median,Activity Area,N,N,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","6000","Mapped, On Network",-81.4206298253939,28.4501050153588,652108.647343297,496419.535240443,3/30/2020 5:29:08 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88240118",FHPK20OFF008538,FHP,Long,02:18:20,09:45 AM,Orlando,Orange,STATE ROAD 91 (FLORIDA TURNPIKE),STATE ROAD 528 (BEACH LINE),"5280",North,Other,"1","0","0","0",N,N,N,"$1,000",Clear,Daylight,,Single Vehicle,N,Property Damage Only,N,Other,Other Non-Fixed Object,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.4083914064691,28.4330805815744,653344.391460332,494554.358574778,3/6/2020 8:19:32 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88290430",FHPD20OFF015194,FHP,Long,02:20:20,07:30 PM,Orlando,Orange,SR 482 (SAND LAKE ROAD),DELLA DRIVE,"0",,Rear End,"2","0","0","1",N,Y,N,"$1,000",Clear,Dusk,,Rear End,W,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Intersection-Related,N,Not at Intersection,State,Unpaved,Dry,None,,,None,,,N,N,,,,,"0","0","2","0","0","0","0","1","0","0","0","0",$0,$0,"0","1","0","1000","Mapped, On Network",-81.4209600282487,28.4505299717513,652075.390931,496466.044039,2/22/2020 3:42:34 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88208512",FHPK20OFF008513,FHP,Long,02:18:20,08:30 AM,Orlando,Orange,STATE ROAD 91,STATE ROAD 528,"5280",North,Rear End,"2","0","0","0",N,N,N,$500,Clear,Daylight,,Rear End,S,Property Damage Only,N,Other,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,State,Paved,Dry,None,,,None,,,Y,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","500","Mapped, On Network",-81.417857031913,28.445481408349,652390.372931213,495911.838136466,3/6/2020 7:44:27 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88174638",FHPL20OFF016293,FHP,Long,03:15:20,02:27 AM,Orlando,Orange,SR-91 (FLORIDA TURNPIKE),SR-528 (BEACHLINE EXPRESSWAY),"15840",North,Rear End,"2","0","0","3",N,N,N,"$5,100",Clear,Dark - Lighted,,Rear End,S,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","3","0","0","0",$0,$0,"0","1","100","5000","Mapped, On Network",-81.4258560487134,28.455367094531,651585.710513422,496993.121913299,3/26/2020 11:55:09 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88273696",FHPK20OFF011460,FHP,Short,03:05:20,07:33 AM,Orlando,Orange,FLORIDA TURNPIKE (STATE ROAD 91),STATE ROAD 528,"5280",North,Other,"2","0","0","0",N,N,N,"$5,000",Clear,Daylight,,Other,N,Property Damage Only,N,Other,Cargo/Equipment Loss or Shift,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,Y,Work on Shoulder or Median,Activity Area,Y,N,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","5000","Mapped, On Network",-81.4194421418337,28.4483204593501,652228.862131885,496223.820841875,3/30/2020 5:01:25 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88231824",FHPK20OFF009940,FHP,Long,02:26:20,04:08 AM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),STATE ROAD 482 (W SANDLAKE ROAD),"1056",North,Rear End,"2","0","0","1",N,N,N,"$15,000",Clear,Dark - Lighted,,Rear End,S,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","1","0","0","0","0",$0,$0,"0","1","0","15000","Mapped, On Network",-81.4232996706895,28.4529635277252,651841.100740071,496731.466698993,3/18/2020 1:42:15 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88208556",FHPK20OFF007606,FHP,Long,02:14:20,06:00 AM,Orlando,Orange,STATE ROAD 91 (FLORIDA TURNPIKE),MM 255,"0",,Rear End,"3","0","0","0",N,N,N,"$6,700",Clear,Dawn,,Rear End,S,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,Y,Not at Intersection,State,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","6700","Mapped, On Network",-81.412414466417,28.4373983365524,652941.111145972,495025.5091535,2/18/2020 1:22:09 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88315347",FHPK20OFF014343,FHP,Short,03:23:20,05:20 PM,Orlando,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),MILE MARKER 256,"0",,Sideswipe,"2","0","0","0",N,Y,N,"$3,000",Clear,Daylight,,Same Direction Sideswipe,N,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,Y,Work on Shoulder or Median,Advance Warning Area,N,N,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","3000","Mapped, On Network",-81.4145849051767,28.4413081102347,652719.875070251,495455.169481669,3/30/2020 5:28:56 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88183861",FHPK20OFF017202,FHP,Short,04:22:20,08:53 AM,Orlando TP,Orange,SR 91 (FLORIDAS TURNPIKE),SR 600 (ORANGE BLOSSOM TRAIL),"5280",North,Sideswipe,"2","0","0","0",N,N,N,"$1,000",Clear,Daylight,,Same Direction Sideswipe,S,Property Damage Only,N,"Sideswipe, Same Direction",Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","1000","Mapped, On Network",-81.4135395960084,28.4391968882556,652826.954688695,495222.898775293,5/29/2020 12:19:04 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88183857",FHPK20OFFE00122,FHP,Long,03:26:20,01:27 AM,Orlando TP,Orange,SR 91 (FLORIDAS TURNPIKE),SR 50 (W COLONIAL DR),"2640",North,Rear End,"2","0","0","1",N,N,N,"$2,000",Clear,Dark - Lighted,,Rear End,N,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,Y,Lane Closure,Activity Area,Y,Y,"0","0","1","0","0","0","0","1","0","0","0","0",$0,$0,"0","2","0","2000","Mapped, On Network",-81.4102819462026,28.4351708307639,653154.732983234,494782.560625872,3/30/2020 5:30:11 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88200519",FHPK20OFF011932,FHP,Long,03:07:20,04:01 PM,Orlando TP,Orange,STATE ROAD 91 (FLORIDAS TURNPIKE),CONSULATE DRIVE,"1000",North,Rear End,"2","0","0","2",N,Y,N,"$14,300",Clear,Daylight,,Rear End,S,Injury,Y,Front to Rear,Motor Vehicle in Transport,On Roadway,Entrance/Exit Ramp,Y,Not at Intersection,State,Unpaved,Dry,None,,,None,,,N,N,,,,,"0","0","1","0","0","0","0","0","2","0","0","0",$0,$0,"0","1","300","14000","Mapped, On Network",-81.4146536152435,28.4408558406675,652714.212729622,495404.812226423,3/20/2020 4:06:03 PM,,,,,,,,13.000000000000000,14.000000000000000,,
"88178730",FHPK20OFF007575,FHP,Long,02:13:20,08:52 PM,Orlando,Orange,STATE ROAD 528 (BEACHLINE EXP),MILE MARKER 4,"0",,Rear End,"2","0","0","1",N,Y,N,"$1,000",Clear,Dark - Lighted,,Rear End,E,Injury,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","1","0","0","0","0",$0,$0,"0","1","0","1000","Mapped, On Network",-81.4133093808448,28.4310973620864,652868.321942449,494324.063312957,3/5/2020 5:50:04 PM,,,,,,,,10.000000000000000,14.000000000000000,,
"88178735",FHPK20OFF008962,FHP,Long,02:20:20,05:12 PM,Orlando,Orange,STATE ROAD 528 (BEACHLINE EXP),MILE MARKER 4,"0",,Rear End,"2","0","0","0",N,Y,N,"$10,000",Clear,Daylight,,Rear End,W,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","1","0","10000","Mapped, On Network",-81.4142789314939,28.4307318788859,652774.406056454,494281.495142154,3/5/2020 5:56:53 PM,,,,,,,,10.000000000000000,14.000000000000000,,
"88240118",FHPK20OFF008538,FHP,Long,02:18:20,09:45 AM,Orlando,Orange,STATE ROAD 91 (FLORIDA TURNPIKE),STATE ROAD 528 (BEACH LINE),"5280",North,Other,"1","0","0","0",N,N,N,"$1,000",Clear,Daylight,,Single Vehicle,N,Property Damage Only,N,Other,Other Non-Fixed Object,On Roadway,Non-Junction,N,Not at Intersection,Turnpike/Toll,Paved,Dry,None,,,None,,,N,N,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",$0,$0,"0","0","0","1000","Mapped, On Network",-81.4083914064691,28.4330805815744,653344.391460332,494554.358574778,3/6/2020 8:19:32 PM,,,,,,,,10.000000000000000,14.000000000000000,,
"88231826",FHPK20OFF011624,FHP,Long,03:05:20,11:33 PM,Orlando,Orange,STATE ROAD 528 (BEACHLINE EXPRESSWAY),STATE ROAD 91 (FLORIDAS TURNPIKE),"2112",West,Other,"2","0","0","0",N,N,N,"$3,005",Clear,Dark - Lighted,,Backed Into,W,Property Damage Only,N,Front to Rear,Motor Vehicle in Transport,On Roadway,Non-Junction,N,Not at Intersection,Interstate,Paved,Dry,None,,,None,,,N,Y,Lane Closure,Activity Area,Y,Y,"0","0","2","0","0","0","0","0","0","0","0","0",$0,$0,"0","2","0","3005","Mapped, On Network",-81.4146813515783,28.4301465258125,652736.434912995,494215.677295962,3/18/2020 1:56:58 PM,,,,,,,,10.000000000000000,14.000000000000000,,
